,language,raw_zipf_s,raw_zipf_r2,raw_mand_s,raw_mand_q,raw_mand_r2,lemma_zipf_s,lemma_zipf_r2,lemma_mand_s,lemma_mand_q,lemma_mand_r2
Albania,,,,,,,,,,,,0,0
Andorra,,,,,,,,,,,,0,0
Austria,,,,,,,,,,,,0,0
Belarus,be,0.7296,0.9169,0.7296,0.0000,0.9169,0.8244,0.9269,0.8244,0.0000,0.9269,0,0
Belgium,,,,,,,,,,,,0,0
Bonaire (Neth.),,,,,,,,,,,,0,0
Bosnia and Herzegovina,,,,,,,,,,,,0,0
Bulgaria,bg,0.8807,0.9396,0.8807,0.0000,0.9396,,,,,,1,1
Croatia,hr,0.8881,0.9673,0.8883,0.1502,0.9673,0.9317,0.9656,0.9317,0.0000,0.9656,1,1
Cyprus,,,,,,,,,,,,0,0
Czech Republic,cs,0.9112,0.9602,0.9112,0.0000,0.9602,0.9801,0.9588,0.9801,0.0000,0.9588,1,1
Denmark,da,1.0330,0.9674,1.0349,1.1011,0.9674,1.0862,0.9686,1.0892,1.4014,0.9687,0,0
Estonia,et,0.9432,0.9492,0.9451,1.7518,0.9492,1.1970,0.9672,1.2379,24.3744,0.9696,0,0
Faroe Islands (Den.),,,,,,,,,,,,0,0
Finland,fi,0.8748,0.9533,0.8748,0.0000,0.9533,1.0897,0.9731,1.0998,6.2563,0.9736,0,0
France,fr,1.1452,0.9763,1.1517,2.6527,0.9766,1.2131,0.9755,1.2225,3.0030,0.9758,1,1
Germany,de,0.9554,0.9496,0.9554,0.0000,0.9496,1.0400,0.9574,1.0401,0.0501,0.9574,0,0
Gibraltar (UK),,,,,,,,,,,,0,0
Greece,el,0.7672,0.9236,0.7672,0.0000,0.9236,0.8092,0.9257,0.8092,0.0000,0.9257,0,0
Guernsey (UK),,,,,,,,,,,,0,0
Hungary,hu,0.7516,0.9172,0.7516,0.0000,0.9172,0.8240,0.9323,0.8240,0.0000,0.9323,0,0
Iceland,,,,,,,,,,,,0,0
Ireland,,,,,,,,,,,,0,0
Isle of Man (UK),,,,,,,,,,,,0,0
Italy,it,0.8891,0.9360,0.8891,0.0000,0.9360,0.9210,0.9295,0.9210,0.0000,0.9295,1,1
Jersey (UK),,,,,,,,,,,,0,0
Kosovo,,,,,,,,,,,,0,0
Latvia,lv,0.7596,0.9096,0.7596,0.0000,0.9096,0.8648,0.9123,0.8648,0.0000,0.9123,0,0
Liechtenstein,,,,,,,,,,,,0,0
Lithuania,lt,0.8834,0.9500,0.8840,0.6006,0.9500,1.0303,0.9634,1.0403,8.5586,0.9639,0,0
Luxembourg,,,,,,,,,,,,0,0
Malta,,,,,,,,,,,,0,0
Moldova,,,,,,,,,,,,0,0
Monaco,,,,,,,,,,,,0,0
Montenegro,,,,,,,,,,,,0,0
Netherlands,nl,1.1791,0.9781,1.1904,4.6046,0.9787,1.2634,0.9806,1.2816,5.6557,0.9815,0,0
Norway,,,,,,,,,,,,0,0
Poland,pl,0.8305,0.9511,0.8305,0.0000,0.9511,0.9274,0.9486,0.9274,0.0000,0.9486,1,1
Portugal,pt,1.0033,0.9714,1.0041,0.5005,0.9714,1.0652,0.9737,1.0674,1.0511,0.9737,0,0
Republic of Macedonia,,,,,,,,,,,,0,0
Romania,ro,1.1052,0.9753,1.1151,5.5556,0.9757,1.2245,0.9785,1.2483,9.9600,0.9796,0,0
Saba (Neth.),,,,,,,,,,,,0,0
San Marino,,,,,,,,,,,,0,0
Serbia,,,,,,,,,,,,0,0
Sint Eustatius (Neth.),,,,,,,,,,,,0,0
Slovakia,sk,0.7034,0.8957,0.7034,0.0000,0.8957,0.7518,0.9070,0.7518,0.0000,0.9070,0,0
Slovenia,sl,0.9577,0.9702,0.9577,0.0000,0.9702,1.0002,0.9679,1.0002,0.0000,0.9679,1,1
Spain,es,0.8861,0.9251,0.8861,0.0000,0.9251,0.9409,0.9291,0.9409,0.0000,0.9291,0,0
Sweden,sv,0.9297,0.9547,0.9297,0.0000,0.9547,0.9894,0.9577,0.9895,0.0501,0.9577,0,0
Switzerland,,,,,,,,,,,,0,0
Ukraine,uk,0.8324,0.9652,0.8324,0.0000,0.9652,0.8795,0.9689,0.8795,0.0000,0.9689,0,0
United Kingdom,en,1.2754,0.9803,1.3224,19.0190,0.9827,1.3626,0.9784,1.4480,30.7808,0.9828,1,0
Vatican City,,,,,,,,,,,,0,0
